bulk modulus samples [N/mm^2],shear modulus samples [N/mm^2]
133416.069394605,74220.9970815689
132294.975592099,75230.0031418314
142739.723568776,75615.9197368994
130558.296351792,74170.6703390065
144350.360109401,74816.6086941457
149228.982219142,74103.8388805846
137890.697657837,77297.3168913251
123625.815817378,71049.6868413093
118765.352792882,73940.3938222937
127059.470793666,73636.6275227127
130233.726241693,71781.5335048596
143206.37672538,77846.0249236972
129992.970665874,74476.5753058136
136221.727043312,73775.4991478471
132576.777185658,74164.5027789828
121346.582253535,75237.7864227074
120254.834068969,72670.7399638858
128904.894518905,75492.6498948643
116747.026124077,76802.1977352657
112919.504570072,74030.4397267635
122138.217010166,76233.9394897091
122888.298846441,72909.3471581102
128056.123561662,74208.6036422468
151314.73312427,75667.3665306345
126543.50072203,75187.7949815792
127024.075372675,73910.6396354571
128160.713884192,72670.2404604548
123583.785966612,76487.674331922
117533.830331381,72914.6580996737
111575.45264304,74571.6320752721
127623.181321507,74455.0244655754
140211.804835619,73033.1958457191
119394.643156458,75659.7476782143
121940.756816473,71996.3972106697
131097.056679016,73282.5320421655
128046.403340365,73099.3518311122
120375.885250737,73092.7686087391
146009.423918112,76532.5301336483
139883.556865727,74718.5175274501
123701.400858943,74175.9649321774
123625.996788711,76029.108832809
115097.860441753,72020.0241249909
118654.604780566,73052.783193615
156021.083661123,75713.0536967914
131979.784927417,73327.8779566462
126449.454480072,72480.8117558341
117079.493622063,75222.7381432993
130598.022603793,70171.3471910373
154814.074749247,72741.9123841962
130944.492586894,74686.7599286095
121463.929964836,71291.1999365547
106943.939028,71044.9953755653
147912.472125248,73411.9856972609
136217.118683461,73301.7690397082
132710.284174161,73022.3403423614
122852.592801612,76386.7928401351
146598.422308493,76820.543154584
129195.644999887,74681.2446969309
109423.0062858,71989.6557560576
124419.193318508,73857.6013039542
148160.009053616,74977.6497237759
110898.392542588,74257.499598459
121555.045989331,74184.2088476413
143065.896422464,73979.9878457208
140890.823770819,71636.2063956389
128220.425088194,75018.8137554562
122709.570853528,73158.4937325683
130361.62002397,74508.2345396688
128834.474112082,72988.1774293937
129437.629839061,72520.2351023491
141166.985427515,74281.820767341
127162.626986098,71669.1169070751
134971.608297388,74373.6588105007
137328.016509148,72376.6148960857
125776.704824685,77256.143447811
142914.555385655,75011.5876187364
138366.062470704,74498.1599685074
138353.644097476,74395.7660934929
124845.115133335,74757.660699041
120785.375287078,72391.5540501386
132608.368980025,73926.0733614531
134488.498869118,72873.5185019078
116099.803335244,72968.6296313357
132453.509800133,73966.523268528
130486.192542937,71335.0591591358
133419.975412032,72158.6610961416
134293.010254141,73983.2926498737
114550.386655876,70600.5402288762
164390.065131854,75365.2546700428
132110.37882686,73916.6130548104
138356.379127001,74862.4457305455
135360.205019674,72002.2850810857
144101.183775955,73878.8638204969
159173.688987883,75407.3655244552
116396.297357498,71589.2987754653
143388.820001027,73371.9434926812
141509.049539911,74602.1313520732
133408.723116765,71591.6969783843
155194.874115547,78174.3620367544
140188.423900601,74207.9234750438
133416.069394605,74220.9970815689
132294.975592099,75230.0031418314
142739.723568776,75615.9197368994
130558.296351792,74170.6703390065
144350.360109401,74816.6086941457
149228.982219142,74103.8388805846
137890.697657837,77297.3168913251
117965.221334309,72476.3799592955
120146.723270576,73942.6445544538
132232.732883947,77967.2788277423
130233.726241693,71781.5335048596
143206.37672538,77846.0249236972
128940.389384926,74555.1639986842
138632.699043533,73573.2669213892
132714.224330167,74237.5556405508
125008.672803164,74375.2052817955
120254.834068969,72670.7399638858
123284.205072842,77077.0632115031
114310.600775113,76967.9649883372
111627.490656036,74018.9417881052
128601.467137793,75841.674424197
122888.298846441,72909.3471581102
128472.840913251,74202.2861466183
158128.743857988,76191.1557914587
126543.50072203,75187.7949815792
127024.075372675,73910.6396354571
129314.895566493,72748.7771968388
123583.785966612,76487.674331922
117533.830331381,72914.6580996737
111575.45264304,74571.6320752721
127623.181321507,74455.0244655754
140211.804835619,73033.1958457191
119394.643156458,75659.7476782143
121940.756816473,71996.3972106697
131755.257858993,75380.918367172
136153.181778621,75637.6298414453
120375.885250737,73092.7686087391
136792.67898737,74840.779893454
139883.556865727,74718.5175274501
123701.400858943,74175.9649321774
124250.365142296,74114.7571394338
119832.904432596,73607.0173731413
118654.604780566,73052.783193615
156021.083661123,75713.0536967914
131979.784927417,73327.8779566462
126449.454480072,72480.8117558341
117079.493622063,75222.7381432993
130820.105226645,70283.5736643615
